stamp,M0,M1,M2,M3,M4
2018-02-01 00:00:00,6300.906,6299.2573,6300.5864,6301.967,6299.5825
2018-02-01 00:10:00,,,,,
2018-02-01 00:20:00,839.6042,826.12946,819.9327,822.97186,838.7465
2018-02-01 00:30:00,,2148.5288,1960.1582,2296.4763,2483.2878
2018-02-01 00:40:00,1511.5244,1338.1345,1493.9166,1560.0128,1617.327
2018-02-01 00:50:00,4165.5,3137.9148,3964.3203,3985.3208,5563.648
2018-02-01 01:00:00,,,,,
2018-02-01 01:10:00,,,4375.363,4501.1523,5935.177
2018-02-01 01:20:00,3567.231,4115.6113,3316.494,3607.7415,3331.9348
2018-02-01 01:30:00,1118.2632,952.5944,963.21844,963.543,1070.1688
2018-02-01 01:40:00,-39.87029,-40.42631,-50.782543,-40.196053,-38.328793
2018-02-01 01:50:00,137.88776,-54.105072,166.3607,427.10745,379.9916
2018-02-01 02:00:00,,,,,
2018-02-01 02:10:00,,,-54.88011,-52.040314,-45.567204
2018-02-01 02:20:00,521.0089,535.60864,535.5677,514.6793,479.43915
2018-02-01 02:30:00,-38.568634,-43.48472,-38.61904,-39.21647,-47.84396
2018-02-01 02:40:00,,,916.9723,877.9156,841.6692
2018-02-01 02:50:00,,,,,
2018-02-01 03:00:00,6300.9272,6008.3706,5970.569,5991.752,6302.0117
2018-02-01 03:10:00,278.87296,230.6083,196.24832,209.38683,161.99113
2018-02-01 03:20:00,6298.5063,6296.6597,6295.4297,6298.923,6297.7383
2018-02-01 03:30:00,,,,,
2018-02-01 03:40:00,6299.2114,6299.8193,6300.171,6300.035,6300.8945
2018-02-01 03:50:00,-50.9359,-44.140533,-43.552753,-38.58143,-37.945606
2018-02-01 04:00:00,5878.8545,5852.1436,5114.1924,5732.554,5328.096
2018-02-01 04:10:00,897.0444,408.86896,270.1377,235.14502,355.62082
2018-02-01 04:20:00,-56.365227,-47.812218,-53.134975,-51.34129,-51.477352
2018-02-01 04:30:00,6256.0527,6299.9106,6302.7363,,6303.0845
2018-02-01 04:40:00,6300.637,6300.726,6299.4795,6300.744,
2018-02-01 04:50:00,399.0275,319.93997,-54.626038,-32.095245,1.6031634
2018-02-01 05:00:00,,,,,
2018-02-01 05:10:00,5173.1084,3084.6353,4337.0645,3978.407,4467.7783
2018-02-01 05:20:00,6299.395,6301.6978,6299.8984,6300.3823,6302.0645
2018-02-01 05:30:00,5995.0625,5965.2656,5973.16,5994.112,5876.957
2018-02-01 05:40:00,,,312.71075,329.28143,317.48428
2018-02-01 05:50:00,-53.459194,-54.20318,-53.89712,-54.88267,-54.902905
2018-02-01 06:00:00,265.8373,259.71918,169.40785,110.08716,85.17002
2018-02-01 06:10:00,1368.5474,716.19244,1054.039,1394.1838,1332.6149
2018-02-01 06:20:00,1497.8132,1646.5552,1659.8865,1565.1527,1710.8721
2018-02-01 06:30:00,,,,,
2018-02-01 06:40:00,,,2200.2065,2229.101,2796.2827
2018-02-01 06:50:00,5863.5786,5402.103,5412.126,5474.3833,5641.616
2018-02-01 07:00:00,5492.467,5316.685,5569.827,2345.0203,
2018-02-01 07:10:00,5997.369,6298.751,5997.214,5997.614,5996.679
2018-02-01 07:20:00,135.45747,-42.741493,80.70498,110.51865,81.20084
2018-02-01 07:30:00,,,,,
2018-02-01 07:40:00,5691.5405,5610.661,5741.82,5719.1787,5880.6875
2018-02-01 07:50:00,761.81213,435.22076,169.58595,165.8431,
2018-02-01 08:00:00,23.627007,19.214191,-44.24406,62.991787,59.3744
2018-02-01 08:10:00,585.7812,905.04944,482.6897,857.2073,1449.3013
2018-02-01 08:20:00,,,,,
2018-02-01 08:30:00,2087.1106,2060.8828,1741.7189,2442.501,1608.9568
2018-02-01 08:40:00,4338.3633,4261.4863,4344.6484,4919.001,5794.874
2018-02-01 08:50:00,2810.811,2648.5396,2553.9563,2289.6296,2344.5576
2018-02-01 09:00:00,6301.4155,6298.514,6301.826,6299.616,6304.9365
2018-02-01 09:10:00,2274.242,3416.8494,2724.1775,2766.4814,2986.935
2018-02-01 09:20:00,789.99335,945.5603,488.0267,474.2464,379.7331
2018-02-01 09:30:00,536.62,613.2679,755.23425,577.2477,
2018-02-01 09:40:00,6300.197,6299.85,6300.2153,6299.9697,6300.126
2018-02-01 09:50:00,2313.2612,2258.877,2396.9907,2297.275,2269.4248
2018-02-01 10:00:00,2640.2114,2856.4321,2798.683,2755.9573,2741.613
2018-02-01 10:10:00,1423.2615,1608.7197,1689.5339,1781.3875,
2018-02-01 10:20:00,1310.6212,1091.8578,1051.9392,1137.66,
2018-02-01 10:30:00,6178.0366,6199.2114,5996.248,6003.928,6104.342
2018-02-01 10:40:00,6298.37,6297.7983,6300.665,6302.0596,6299.8477
2018-02-01 10:50:00,6217.7144,6298.6514,5436.1514,3419.659,3685.1965
2018-02-01 11:00:00,4078.5852,4268.873,4092.1135,3790.7688,3843.378
2018-02-01 11:10:00,,,,,
2018-02-01 11:20:00,810.78534,834.25476,680.474,519.33624,649.4098
2018-02-01 11:30:00,6297.6445,6298.063,6299.6147,6301.6323,6295.766
2018-02-01 11:40:00,6003.3086,6298.9478,6303.3037,6294.413,6301.012
2018-02-01 11:50:00,3215.0806,3124.3872,3147.1963,3152.252,3384.1274
2018-02-01 12:00:00,1323.5604,1213.4686,1047.3793,1005.67456,1103.9927
2018-02-01 12:10:00,6229.302,6300.701,6298.7583,5904.8955,6299.5015
2018-02-01 12:20:00,,,6301.391,,6297.648
2018-02-01 12:30:00,,-31.818577,-52.52729,-55.533573,-52.806694
2018-02-01 12:40:00,-53.75459,-46.382103,-47.640163,-38.97897,-35.483772
2018-02-01 12:50:00,862.5698,705.4021,394.49866,571.93805,391.31866
2018-02-01 13:00:00,6296.799,6299.365,6300.5815,5999.0264,
2018-02-01 13:10:00,2114.0662,1486.35,3704.1426,3314.2644,1892.0831
2018-02-01 13:20:00,6298.9873,6299.1284,6299.933,6299.618,6300.519
2018-02-01 13:30:00,6297.037,6301.8022,6293.4136,6295.6895,6301.4883
2018-02-01 13:40:00,2784.413,2819.0303,2769.0085,2768.6284,2708.0425
2018-02-01 13:50:00,6300.175,6299.6953,,6299.387,6298.96
2018-02-01 14:00:00,2526.81,1893.9265,1436.4583,1704.3833,1657.1481
2018-02-01 14:10:00,109.42231,81.12706,81.36917,150.7619,86.34655
2018-02-01 14:20:00,6300.8857,6300.8726,6298.524,6297.4775,6299.012
2018-02-01 14:30:00,6299.984,6301.889,6302.617,,6301.0894
2018-02-01 14:40:00,,,,,
2018-02-01 14:50:00,933.3919,951.5526,985.3478,945.34155,873.73615
2018-02-01 15:00:00,3016.0425,2967.9163,2846.5786,2661.6177,2833.2095
2018-02-01 15:10:00,5016.852,4925.8813,3796.1685,3033.3242,4657.258
2018-02-01 15:20:00,5998.7056,5998.2373,6004.279,5900.4443,5996.739
2018-02-01 15:30:00,-58.618233,-52.646385,-57.305054,-52.946884,-44.799538
2018-02-01 15:40:00,43.032345,36.978436,-41.42569,-49.7206,-49.650307
2018-02-01 15:50:00,1639.0352,2084.3843,912.5192,801.5196,
2018-02-01 16:00:00,-54.168663,-52.226017,-53.88572,-54.98648,-53.196373
2018-02-01 16:10:00,1554.5294,857.88446,743.82654,1056.3037,1331.6464
2018-02-01 16:20:00,2644.78,2404.917,2282.3938,2143.9722,1988.6841
2018-02-01 16:30:00,,,559.0551,546.27423,469.7638
2018-02-01 16:40:00,594.0496,561.4002,569.95844,517.02026,537.9992
2018-02-01 16:50:00,100.819176,102.29134,-55.53065,,101.28033
2018-02-01 17:00:00,2698.379,3164.1804,2947.2856,2578.933,2498.7605
2018-02-01 17:10:00,6009.2715,5997.095,5980.142,5939.196,5812.4404
2018-02-01 17:20:00,1085.6337,1039.914,172.00748,188.94522,181.44077
2018-02-01 17:30:00,5999.681,5996.1885,6001.6255,5970.0474,5942.9683
2018-02-01 17:40:00,6300.646,6299.832,6299.5386,6301.416,6302.8945
2018-02-01 17:50:00,6298.845,6301.5864,6251.951,,6299.8516
2018-02-01 18:00:00,5750.7266,5909.2476,5932.2705,5921.545,5900.4673
2018-02-01 18:10:00,-36.949615,-36.75735,-38.671932,-35.158646,-34.51683
2018-02-01 18:20:00,2448.7864,1959.8896,2506.5579,1977.1855,1641.2947
2018-02-01 18:30:00,2505.2163,2066.8484,3575.0037,4076.6287,3360.5652
2018-02-01 18:40:00,5707.329,5891.584,5712.651,5332.7646,
2018-02-01 18:50:00,6300.349,6186.128,,,6301.0894
2018-02-01 19:00:00,73.86155,3.979275,53.508636,-43.29635,-50.05147
2018-02-01 19:10:00,6302.664,6296.699,6059.0527,6299.339,6299.4355
2018-02-01 19:20:00,,,-43.126575,-39.91759,-37.938255
2018-02-01 19:30:00,,,,,
2018-02-01 19:40:00,598.7441,617.1855,622.99115,556.22205,474.61807
2018-02-01 19:50:00,4059.646,3718.147,3624.3494,3967.7034,4099.957
2018-02-01 20:00:00,6298.2495,6301.5503,6300.491,6298.4443,6300.022
2018-02-01 20:10:00,720.87585,579.84375,414.46222,626.00183,552.7537
2018-02-01 20:20:00,5987.7383,6300.524,6299.445,6301.3833,
2018-02-01 20:30:00,4601.3423,4766.5195,5029.7725,,5236.4834
2018-02-01 20:40:00,2368.074,2124.062,1075.9711,1580.1335,1463.6238
2018-02-01 20:50:00,,,-34.94636,-32.829834,-32.681553
2018-02-01 21:00:00,6294.1636,6299.596,6302.261,6297.906,
2018-02-01 21:10:00,1461.384,1475.1404,1532.389,1573.3923,1652.2365
2018-02-01 21:20:00,4399.8647,1868.4889,3104.0166,3451.8567,3142.2979
2018-02-01 21:30:00,,,1843.1155,1617.5928,1689.2726
2018-02-01 21:40:00,5747.2305,5908.174,4327.343,5146.6514,4361.4155
2018-02-01 21:50:00,3008.1465,3064.1487,3396.9604,3483.4937,3236.3513
2018-02-01 22:00:00,,,,,
2018-02-01 22:10:00,,,,,
2018-02-01 22:20:00,423.0875,450.2671,360.2741,367.5094,374.32776
2018-02-01 22:30:00,,,729.997,704.5786,747.5406
2018-02-01 22:40:00,-46.427593,-5.3986034,72.82872,87.59517,-26.05399
2018-02-01 22:50:00,5706.641,5390.69,5434.623,5653.581,5779.9546
2018-02-01 23:00:00,,,6299.975,6299.9644,6299.868
2018-02-01 23:10:00,4454.9253,4389.426,4357.1763,4148.1997,4683.948
2018-02-01 23:20:00,6298.054,6298.675,6296.8916,,6299.0537
2018-02-01 23:30:00,4887.8438,4490.2266,3962.7832,4551.631,4823.607
2018-02-01 23:40:00,3243.7236,2586.7332,2452.513,2373.291,
2018-02-01 23:50:00,6297.8643,6242.6465,5950.859,5984.931,
2018-02-02 00:00:00,6296.1675,6298.7554,6300.818,6300.4575,6300.4287
2018-02-02 00:10:00,6295.7944,6298.6445,6299.256,,6298.891
2018-02-02 00:20:00,2471.7476,1889.9835,2291.0574,2166.4382,2416.2422
2018-02-02 00:30:00,6296.3403,6301.143,6300.243,,6297.8994
2018-02-02 00:40:00,,285.42636,595.52673,500.63538,315.4443
2018-02-02 00:50:00,2037.705,3064.0269,2994.2573,2375.6094,3648.8518
2018-02-02 01:00:00,974.9069,682.3805,893.08636,535.07056,713.0316
